# Wavelength[Angstrom] Flux_16[erg/s/cm^2/A] Flux_22[erg/s/cm^2/A] Flux_30[erg/s/cm^2/A] Flux_40[erg/s/cm^2/A]
2.008032128514056603e+04 1.060094662440514350e-15 4.115769917882820724e-16 1.227232153989290190e-16 8.314519397233599179e-17
2.000160012801023913e+04 1.039432897220092312e-15 4.049396158291923057e-16 8.683784991768422780e-17 4.839268207817366990e-18
1.992349378386993703e+04 1.042100335424201128e-15 4.240429744535606268e-16 8.114750754128114279e-17 5.523797011181826527e-18
1.984599507819322025e+04 1.061775670142345276e-15 4.357893851062708442e-16 1.075276350400912308e-16 8.831674616669922382e-18
1.976909694765142922e+04 1.080247229503488439e-15 4.575347409012565213e-16 1.197596847848741602e-16 1.101356950974683558e-17
1.969279243796770606e+04 1.072643617187052914e-15 4.508654980318423209e-16 1.145868357699875138e-16 1.311619407070283982e-17
1.961707470182046382e+04 1.052098748194588976e-15 4.275596941049813879e-16 9.322341383646643084e-17 1.783186019777203511e-17
1.954193699679512429e+04 1.070512299183357874e-15 4.428093886437544902e-16 9.618914313842829606e-17 2.987734307593508465e-17
1.946737268338265130e+04 1.145387230608601422e-15 4.933890612891293625e-16 1.116879924689991598e-16 5.810502357571607783e-17
1.939337522302381694e+04 1.205600682124033608e-15 5.613712477840743941e-16 1.453532283665399113e-16 6.122186494679522331e-17
1.931993817619783658e+04 1.251308002252800356e-15 6.267882794337768318e-16 2.251381542824163585e-16 6.413169802273543352e-17
1.924705520055431771e+04 1.306707267097217469e-15 6.917878473641272277e-16 3.229915301536805756e-16 6.799913114087570414e-17
1.917472004908728195e+04 1.290673113406426383e-15 7.623219812976678751e-16 3.429027015037068055e-16 6.812875222834676164e-17
1.910292656835027083e+04 1.326053043455939048e-15 7.794484718793187703e-16 3.490609542352376829e-16 7.250676199345254085e-17
1.903166869671132736e+04 1.320128274530508575e-15 8.184626177998443669e-16 3.726634470775806595e-16 7.091699046221857798e-17
1.896094046264694771e+04 1.354856736658863340e-15 8.523679326365904389e-16 3.624735597102213152e-16 7.267015266719749377e-17
1.889073598307390057e+04 1.415804662740968410e-15 8.707813113943424966e-16 3.696192548008346749e-16 7.553386570512122320e-17
1.882104946171798656e+04 1.435970593713540459e-15 8.575207169878564606e-16 3.751735130871562212e-16 7.260591815437854169e-17
1.875187518751875177e+04 1.460147071412812811e-15 8.756042870489627486e-16 3.570300996707266845e-16 7.163365512247843324e-17
1.868320753306927872e+04 1.488607289750515875e-15 8.390061091658891558e-16 3.467233753906429591e-16 7.260788267272018026e-17
1.861504095309009790e+04 1.477527073647616015e-15 8.067270538935227241e-16 3.435267684166286860e-16 8.493150559822733700e-17
1.854736998293641955e+04 1.490739256732433978e-15 7.745235604928796636e-16 3.756620929458393270e-16 1.912664272832232687e-16
1.848018923713779077e+04 1.445737544944485835e-15 7.498135093031402040e-16 3.862206751603313141e-16 2.669698694435206073e-16
1.841349340796935940e+04 1.453793239503413353e-15 7.134257299955008483e-16 3.730463083889459973e-16 2.585800102221775969e-16
1.834727726405401336e+04 1.417884833221937491e-15 6.497541207838496711e-16 3.708865603931586372e-16 2.607321515513654804e-16
1.828153564899451521e+04 1.354550675073777396e-15 5.922891562346806765e-16 3.380435396305532359e-16 2.408278403321731604e-16
1.821626348003497696e+04 1.296122539152541306e-15 5.796320105801888021e-16 3.400314988373524925e-16 2.487341807121900718e-16
1.815145574675088938e+04 1.296401215239353712e-15 5.986262786017172301e-16 3.638467563619109418e-16 2.811923051145814734e-16
1.808710750976703639e+04 1.306505791850922853e-15 6.274209040781471863e-16 3.847689888681419521e-16 3.009157067241419389e-16
1.802321389950255980e+04 1.355918649612177834e-15 6.930613700810875199e-16 4.220037354575449675e-16 3.239088361510792920e-16
1.795977011494253020e+04 1.415101893595889429e-15 7.231376481825632610e-16 4.435959751324158101e-16 3.215417136290033130e-16
1.789677142243539129e+04 1.471435194597638913e-15 7.692582015234887366e-16 4.579791792816191315e-16 3.421973736561660786e-16
1.783421315451562259e+04 1.498557430602254189e-15 7.673710668765638068e-16 4.658749245726752465e-16 3.496599648129517633e-16
1.777209070875097677e+04 1.494955235593670102e-15 7.662801043071646481e-16 4.447453099951544567e-16 3.409456520956435495e-16
1.771039954661377124e+04 1.488709606844852949e-15 7.040986003968452528e-16 4.281011547402468726e-16 3.187872022390825399e-16
1.764913519237557193e+04 1.492688920779095794e-15 6.714031124750964063e-16 3.992675659082141028e-16 2.940691831542460449e-16
1.758829323202476371e+04 1.510492710625752792e-15 6.399254613589732020e-16 3.712095447578166001e-16 2.908411875343558705e-16
1.752786931220640690e+04 1.481977982380561372e-15 5.954763180994819640e-16 3.413328264369358763e-16 2.474450756595590169e-16
1.746785913918389997e+04 1.490765322513730339e-15 4.954584416307408101e-16 2.533970053568204564e-16 1.747533498421491725e-16
1.740825847782187702e+04 1.431569958126467494e-15 4.230091926843886361e-16 1.744885932768596274e-16 1.260305141197874290e-16
1.734906315058986729e+04 1.454814243473726014e-15 3.741065673024371874e-16 1.599252416251978377e-16 1.183292208975156573e-16
1.729026903658620722e+04 1.370476969111429531e-15 3.789559449217229980e-16 1.486486358887582160e-16 1.420893421883119623e-16
1.723187207058174681e+04 1.322058601372363455e-15 4.027455262594047047e-16 1.687766861053737997e-16 1.544980671735617142e-16
1.717386824208284452e+04 1.293417131419295216e-15 3.816573884798083854e-16 1.681683426659129858e-16 1.498818498180047543e-16
1.711625359441325418e+04 1.374851087351997908e-15 3.855322396388564859e-16 1.607963847147780014e-16 1.280973395318972226e-16
1.705902422381439828e+04 1.414216365682125852e-15 4.095578195336652122e-16 1.511826233404944837e-16 1.247818489280419282e-16
1.700217627856365652e+04 1.464748006132142752e-15 4.493772811584232217e-16 1.575595214053064265e-16 1.524280516645974841e-16
1.694570595811021849e+04 1.589381343743373921e-15 5.135123840729557111e-16 1.952122186093215382e-16 1.643298162380638773e-16
1.688960951222808217e+04 1.650577324629398846e-15 5.122159841711175205e-16 2.084470598435403127e-16 1.544199370715099740e-16
1.683388324018584899e+04 1.682157126344899009e-15 5.405610516704524691e-16 2.164856760325400222e-16 1.720388724908583464e-16
1.677852348993288979e+04 1.794728157191033371e-15 5.974923512210436206e-16 2.432009101132797569e-16 2.572158622946970484e-16
1.672352665730149602e+04 1.838764543283078451e-15 7.059330445167126089e-16 3.133174078673847553e-16 3.140174961186785517e-16
1.666888918522469976e+04 1.926263312045589753e-15 7.656922263550680065e-16 3.696752269981955155e-16 3.160484819211808594e-16
1.661460756296936597e+04 1.994487767774428340e-15 7.516414113420321266e-16 3.883462140217473774e-16 3.265744738664718443e-16
1.656067832538420771e+04 2.033837266059681617e-15 7.788219795630162607e-16 3.884130388612616123e-16 3.258131012758285847e-16
1.650709805216243331e+04 2.015219908319543703e-15 7.657130980065173384e-16 3.923147178861923757e-16 3.263565460126243804e-16
1.645386336711860349e+04 2.053018662224949666e-15 7.573459045888486721e-16 3.874581651906818053e-16 3.040397130167976280e-16
1.640097093747950203e+04 2.065704106573845812e-15 7.495890904582029390e-16 3.700288128275763511e-16 2.411826937145371175e-16
1.634841747318859962e+04 2.035733398593499096e-15 7.341514139850349435e-16 3.374881106108495929e-16 2.213968731728889642e-16
1.629619972622384739e+04 2.017193370881296600e-15 7.146885390850587595e-16 3.182306495194056504e-16 2.273580342180567831e-16
1.624431448992852711e+04 2.097198609541353206e-15 7.590918622169893807e-16 3.193594079474743324e-16 2.872331485093144558e-16
1.619275859835481788e+04 2.141899291063028808e-15 8.229458465958413044e-16 3.832538466173595204e-16 3.271853048787055902e-16
1.614152892561983754e+04 2.183079945991962983e-15 8.213363627706298908e-16 4.111577186605569547e-16 3.413646435072615745e-16
1.609062238527386580e+04 2.235963651082542267e-15 8.062799821568125335e-16 3.957753628711214279e-16 3.126371723172877390e-16
1.604003592968048542e+04 2.242728540625104352e-15 7.652371383855154061e-16 3.150964608635462905e-16 2.071851279834947568e-16
1.598976654940837943e+04 2.268236942696565315e-15 7.282951519415424947e-16 2.750231012710427303e-16 2.055244164925731786e-16
1.593981127263453345e+04 2.312806212481317898e-15 7.129296268552608250e-16 2.715780283199873129e-16 2.227288555569738433e-16
1.589016716455857386e+04 2.314803387225189108e-15 7.870836306879433095e-16 2.824740070887661209e-16 3.153971595219167411e-16
1.584083132682803262e+04 2.343036007365023370e-15 8.018180324149618202e-16 3.617740097675457431e-16 3.262786163331449054e-16
1.579180089697429321e+04 2.337171816451302650e-15 7.994162682329319124e-16 3.535222950802519091e-16 2.762062963694390945e-16
1.574307304785894303e+04 2.332142262336232135e-15 7.361782634720195971e-16 2.950232245508638390e-16 1.989483029060012606e-16
1.569464498713039393e+04 2.315578908821134792e-15 7.057609206757403085e-16 2.528978854451074330e-16 1.867713114581561959e-16
1.564651395669045269e+04 2.339782374680365685e-15 6.915425953910314659e-16 2.474192064189219708e-16 2.092833062603334537e-16
1.559867723217071398e+04 2.372333092118128480e-15 8.200468368488741702e-16 2.782195656856498372e-16 2.979876650294304409e-16
1.555113212241851397e+04 2.399611552092320701e-15 8.312416169469142154e-16 3.566934112725866270e-16 2.959397924897545414e-16
1.550387596899224991e+04 2.407738530485216728e-15 8.123662454189891820e-16 3.517407411331372944e-16 2.690701509627818821e-16
1.545690614566588556e+04 2.436711761491861190e-15 7.904844382168228846e-16 3.321255481151406172e-16 1.608477345657384360e-16
1.541022005794242796e+04 2.519897408838786352e-15 7.852349250912458078e-16 2.733656515151423002e-16 1.582549368432286826e-16
1.536381514257620620e+04 2.543468504218650396e-15 7.725290258961020393e-16 2.560208775649936649e-16 1.535945986476953235e-16
1.531768886710373226e+04 2.614231194355071562e-15 8.680980396948300494e-16 2.727808682035296325e-16 2.733560895482409867e-16
1.527183872938302011e+04 2.667465215930960400e-15 9.674233243312512957e-16 3.990576012052556201e-16 2.980582843052374496e-16
1.522626225714111752e+04 2.725547785646101031e-15 9.632210524673568456e-16 4.265850675585934289e-16 3.227071496562943806e-16
1.518095700752975608e+04 2.758353752940526020e-15 1.025801990350618953e-15 4.807621922669469668e-16 3.617070436695460034e-16
1.513592056668886835e+04 2.747273129404182034e-15 1.081182645688330706e-15 4.876634485400020621e-16 4.007257767364412921e-16
1.509115054931788109e+04 2.881060888442733114e-15 1.142952267408507074e-15 5.100801133033512713e-16 3.864248347602056543e-16
1.504664459825459016e+04 2.894998788629319987e-15 1.167355161345096180e-15 5.087969400302442005e-16 3.892755359504974221e-16
1.500240038406145322e+04 2.979910324824435732e-15 1.178538913203267146e-15 5.511798952904372209e-16 4.118426851532701641e-16
1.495841560461916197e+04 3.006738679785652948e-15 1.213908205755612751e-15 5.803157680402850198e-16 4.163964281415605313e-16
1.491468798472736125e+04 3.077784546342437400e-15 1.223415687699035184e-15 5.653469115401998096e-16 4.323917349351620870e-16
1.487121527571233128e+04 3.103861296306328490e-15 1.251483332135206427e-15 5.501558405819663650e-16 4.255411928149413180e-16
1.482799525504151825e+04 3.239102266361046276e-15 1.276959452608839580e-15 5.663676783550037319e-16 4.344658955281112526e-16
1.478502572594476624e+04 3.181105779561589078e-15 1.236294377219740616e-15 5.923544929193636153e-16 4.403143025714246637e-16
1.474230451704210645e+04 3.256370605053716289e-15 1.260382151004658725e-15 5.856204734083474499e-16 4.298647270190036834e-16
1.469982948197801124e+04 3.341320338492338866e-15 1.290362892088843329e-15 5.921813800532188626e-16 4.367927138323721145e-16
1.465759849906191448e+04 3.385541335439984746e-15 1.327578338302885346e-15 5.714790689177592975e-16 4.351974443398644490e-16
1.461560947091493836e+04 3.355957847012760653e-15 1.323356241054175494e-15 5.762001378467080656e-16 4.341753063954169861e-16
1.457386032412265376e+04 3.411555182892541764e-15 1.317025185669693707e-15 5.937864123647051147e-16 4.381075589165529713e-16
